Id,y
1,"[1.9322795e-06 4.3634468e-08 9.9994826e-01 3.6145211e-06 2.1583021e-06
 1.0686094e-08 6.6102267e-08 1.4996775e-06 2.5799181e-07 1.0452890e-05
 2.2419154e-06 9.2290347e-06 7.1372341e-07 3.0739722e-07 2.7881867e-07
 7.7684433e-07 1.6894541e-05 1.1462307e-06 3.3371581e-08 7.3350015e-09]"
2,"[5.3284607e-06 1.3854460e-08 1.9360139e-06 3.4935617e-09 1.0837743e-07
 6.6988122e-09 4.1556699e-08 9.9855100e-08 8.1463254e-09 7.1741868e-10
 2.2797877e-08 9.2726946e-09 7.1141670e-07 1.8566407e-06 1.4157568e-09
 1.5370433e-07 9.9998975e-01 1.2284653e-08 3.1195180e-09 5.3943428e-09]"
3,"[5.0529203e-04 9.9939609e-01 4.0703294e-06 3.2780227e-07 1.2135796e-06
 1.2169770e-05 1.5024493e-07 2.5065731e-07 7.3172606e-09 3.5201912e-05
 3.0308458e-05 2.1786219e-08 1.4563183e-07 3.5206992e-06 7.9371894e-06
 2.0274596e-08 2.3052019e-06 3.6052441e-07 4.0799429e-07 1.5740444e-07]"
4,"[5.0743944e-03 5.5583521e-05 6.0404483e-07 4.7078333e-07 2.2195252e-06
 2.6806703e-07 7.5754774e-04 1.4835719e-06 1.1387890e-06 4.1475900e-07
 2.8339982e-06 3.3507713e-05 6.5409932e-07 2.8753732e-06 6.8309200e-05
 2.9003622e-05 3.8093651e-05 1.5341078e-07 9.9383813e-01 9.2323316e-05]"
5,"[2.02573763e-04 1.45117065e-03 9.33081269e-01 1.07666485e-04
 4.67322316e-05 1.61406024e-05 3.94559538e-06 1.29549755e-02
 1.23757363e-05 1.92663589e-04 4.86959890e-02 1.37840298e-05
 8.25301686e-06 8.86562266e-05 1.84465753e-04 1.22489473e-05
 2.10361948e-04 2.71282485e-03 2.67450423e-06 1.11669317e-06]"
6,"[1.2324108e-05 1.7685299e-05 7.4103946e-06 2.2300055e-05 4.8288217e-01
 1.8987661e-03 4.6290639e-01 3.5232133e-06 2.2142728e-04 1.4175859e-05
 2.2241691e-05 8.3635143e-07 5.1473912e-02 1.3958998e-05 1.0487217e-04
 8.6539549e-05 2.5247681e-04 1.0597324e-06 5.1609328e-05 6.4131373e-06]"
7,"[6.2096866e-08 7.3153592e-07 1.4655302e-06 6.7807872e-07 9.9983013e-01
 2.3772382e-05 1.6458837e-06 9.9542967e-07 2.9522536e-08 1.1092367e-07
 8.0232473e-07 1.2256922e-07 1.2767671e-04 1.6933702e-06 6.5727659e-07
 7.5969788e-06 1.5481387e-06 1.8457482e-07 2.0113621e-08 2.7353137e-08]"
8,"[4.7400368e-05 4.4973182e-05 1.7844360e-04 2.6106904e-04 7.9226663e-04
 1.7251554e-05 4.4027172e-05 4.0807680e-04 4.9855127e-05 1.8098035e-05
 8.3063875e-05 2.2535001e-04 8.5413846e-04 2.2981451e-03 8.8936147e-05
 9.9304914e-01 6.3196215e-04 1.9064640e-04 4.9732660e-04 2.1997387e-04]"
9,"[3.2681651e-08 1.2505484e-06 8.4474060e-08 2.5637844e-06 9.0979984e-06
 9.9997914e-01 1.9523857e-06 2.0065136e-06 1.1105659e-06 1.9666506e-07
 2.9547203e-07 1.1387404e-08 7.1277617e-07 4.0766429e-07 2.3377216e-07
 1.4711204e-08 2.9463629e-07 6.8066720e-07 1.9636146e-09 2.5461770e-08]"
10,"[5.3238284e-05 5.8251858e-04 4.1008100e-04 1.3717778e-01 1.0099177e-03
 1.9791019e-01 1.1256077e-04 6.5769237e-01 3.1425213e-04 1.9914669e-05
 5.6880130e-04 1.7395789e-04 9.3975277e-06 9.0427650e-04 2.5808513e-05
 4.2881751e-05 3.9708393e-04 2.5810548e-03 6.4103974e-06 7.4883837e-06]"
11,"[9.11936297e-07 1.62027720e-06 1.41940027e-05 9.99656796e-01
 1.38444275e-05 6.44216634e-05 4.21326922e-06 1.65213751e-05
 1.10981957e-04 2.54244896e-05 1.50153201e-05 1.08881104e-05
 2.04603361e-06 1.00149291e-05 1.95070406e-05 7.88746001e-06
 1.01426747e-06 1.29258697e-05 4.12567852e-06 7.65441018e-06]"
12,"[3.41623867e-08 6.09065749e-13 5.58917668e-09 1.11391008e-10
 2.99283792e-11 1.63645508e-12 2.16808299e-12 1.16079624e-09
 9.28153110e-09 1.34812321e-08 1.33068808e-11 1.00000000e+00
 2.96122042e-08 1.02422420e-11 2.52026292e-13 3.13264392e-09
 7.77651277e-10 1.22287656e-08 1.86224636e-09 9.04992170e-09]"
13,"[4.6246294e-07 3.5008791e-04 1.0412962e-06 1.4142246e-06 2.0638499e-06
 7.8415587e-06 4.1553290e-06 3.6043744e-08 5.8667388e-07 6.2002597e-05
 3.3860272e-04 2.9061678e-08 1.5144276e-07 4.7271264e-05 9.9914789e-01
 6.2234783e-08 5.9915024e-08 3.9103220e-06 3.1243893e-05 1.0012242e-06]"
