Id,y
1,"[2.4808691e-05 5.9741119e-08 9.9708813e-01 5.5604502e-08 9.1654123e-08
 4.0126579e-08 4.8622663e-08 1.6647651e-07 2.5279585e-08 2.8312777e-03
 2.1400096e-07 5.2986667e-05 3.3901451e-08 2.3763000e-09 8.8154849e-08
 3.1614175e-07 3.7950471e-07 3.7656537e-07 2.5803461e-08 1.0345475e-06]"
2,"[6.4818877e-08 7.8493410e-12 1.3476492e-08 1.0400788e-11 3.1073372e-10
 3.2418585e-11 9.4999349e-11 6.0960616e-08 5.5440222e-11 3.3089575e-12
 4.9127201e-13 1.6126658e-09 8.4850482e-10 2.1193844e-09 4.6867957e-12
 5.2346383e-07 9.9999928e-01 7.8587817e-11 6.8055195e-10 9.8515758e-11]"
3,"[2.3819608e-04 9.9964190e-01 4.3164016e-07 2.2387312e-06 9.9383804e-08
 3.2712768e-07 1.6312005e-06 2.6744260e-07 1.2717079e-07 1.1700574e-05
 2.5861902e-06 2.3870487e-07 4.1972712e-07 1.7918454e-05 6.6991277e-05
 1.6375573e-07 5.9283238e-06 4.3290080e-07 8.0456448e-06 3.2273581e-07]"
4,"[6.9296639e-03 6.5098633e-05 7.6402060e-08 1.3213515e-06 9.5156288e-08
 7.9149878e-08 6.9354319e-05 7.5232435e-07 1.1727278e-06 1.8937998e-06
 1.6932320e-06 5.5541077e-06 5.5094426e-07 7.7264849e-06 8.7469802e-05
 2.5407567e-06 2.7946378e-06 4.4083529e-07 9.9270862e-01 1.1314005e-04]"
5,"[3.0710032e-07 3.4572154e-06 9.9666816e-01 2.4359942e-05 3.9294801e-07
 1.1485058e-07 1.8597324e-07 2.8059629e-03 1.6297628e-07 4.0018273e-05
 1.4869626e-04 1.1920901e-06 8.3908368e-08 1.6419047e-07 4.7603176e-06
 1.5406222e-06 1.1900982e-05 2.8754573e-04 2.0001397e-07 6.8041237e-07]"
6,"[2.2216956e-05 1.9842552e-04 3.7229045e-05 5.0490409e-05 1.6230265e-02
 1.3853239e-03 9.4528347e-01 6.8314956e-05 4.8422883e-03 1.7422240e-04
 1.8230572e-05 3.7223435e-05 2.7412849e-02 6.4815422e-06 3.3723218e-03
 1.1703093e-05 3.0741205e-05 9.7656348e-06 7.9041172e-04 1.8084873e-05]"
7,"[5.8478690e-08 2.1941516e-06 6.6370876e-07 6.2760319e-06 9.9959058e-01
 9.1937851e-05 4.3392820e-06 3.3660862e-07 4.6784692e-08 3.9670454e-06
 1.0665392e-06 5.8059612e-07 2.3679594e-04 1.1248921e-05 4.5758690e-05
 2.8674940e-06 5.5135172e-07 1.9657757e-07 3.4165879e-07 2.0405579e-07]"
8,"[3.6712979e-07 8.2653844e-07 7.7709439e-07 1.1039378e-06 4.9327904e-05
 2.7485657e-07 1.0649748e-06 1.4981636e-07 6.3353986e-07 3.9276001e-06
 9.9788701e-07 8.3227701e-07 2.0171294e-06 2.8868913e-05 4.2821077e-07
 9.9987245e-01 4.0808186e-06 3.0282823e-07 1.0564136e-05 2.0981861e-05]"
9,"[5.8244762e-08 3.8949429e-07 5.5173575e-07 5.2479209e-07 9.5920641e-06
 9.9993479e-01 3.3776964e-06 3.5237497e-06 1.0496798e-06 3.4958141e-06
 6.4298501e-07 1.0485533e-06 1.1077966e-07 1.1889729e-07 3.1998195e-05
 4.6736396e-08 5.4374624e-07 6.1565511e-06 2.4569280e-08 2.0281288e-06]"
10,"[1.2439615e-07 1.6926469e-06 7.5823814e-04 7.6633698e-01 7.9520587e-06
 3.7036309e-04 7.0493938e-06 1.7381057e-01 1.0294356e-04 2.0725962e-05
 6.0873492e-05 2.3414847e-04 1.1054387e-06 4.1637186e-06 1.7860422e-05
 1.6216188e-06 1.4496015e-05 5.8237907e-02 2.3809921e-06 8.8004144e-06]"
11,"[7.5224096e-07 4.2334041e-06 4.7835689e-05 9.9931085e-01 1.5456408e-05
 7.6494962e-07 4.7439962e-06 4.3928325e-05 7.8958023e-05 2.9716392e-05
 2.0394100e-06 1.4611945e-04 5.8609618e-07 3.4950326e-06 4.4170229e-06
 2.5300490e-06 1.4033997e-06 2.3789112e-04 4.6491059e-05 1.7615717e-05]"
12,"[6.0743583e-09 8.1233978e-13 1.8207161e-11 2.6489660e-10 6.0249405e-12
 7.2823813e-12 2.5675269e-12 1.6855277e-09 1.5530979e-09 2.6981137e-09
 9.7780162e-14 1.0000000e+00 2.4611804e-10 9.6019147e-12 8.8097959e-13
 8.4260951e-13 2.0698204e-13 1.1518667e-08 6.4225131e-12 1.8850821e-09]"
13,"[1.6710663e-06 4.8074033e-04 1.4928878e-07 1.1401368e-06 1.4072010e-07
 3.2855969e-06 8.0564251e-07 2.3310807e-07 1.8917465e-08 6.5097061e-07
 4.5868734e-04 2.2899789e-08 2.5951186e-08 1.3519287e-05 9.9902976e-01
 6.0109349e-09 3.1228204e-08 1.6793850e-06 6.3160851e-06 1.1148508e-06]"
14,"[3.7431775e-07 5.4395326e-07 3.9278777e-05 3.6212767e-04 1.0724250e-07
 1.3293847e-04 9.4212308e-05 9.6388794e-06 9.9891794e-01 7.7630226e-05
 6.0321440e-06 4.0710471e-05 3.8816661e-06 2.4190365e-07 1.7968213e-06
 1.9410906e-07 1.6309977e-07 3.0692166e-04 1.9478907e-07 5.0814351e-06]"
15,"[3.1126405e-07 6.5062927e-06 1.0856047e-05 5.7610084e-04 3.6583083e-07
 2.0759704e-05 2.1267131e-07 6.4139771e-05 4.5263064e-06 9.0184389e-05
 3.1816297e-05 3.4065251e-05 2.6686740e-07 6.0361803e-05 6.7690664e-05
 1.2176906e-06 5.4979182e-07 9.9855214e-01 2.4315882e-06 4.7539177e-04]"
