Id,y
1,"[5.7714246e-04 9.6955011e-07 9.8169965e-01 1.9804509e-06 1.8225187e-06
 1.7394036e-07 4.2523706e-07 6.3072171e-08 8.8790584e-06 1.7332053e-02
 2.9186120e-05 2.1667129e-04 2.7523253e-08 7.4417281e-09 8.2106629e-07
 1.0159248e-06 1.0414381e-04 3.0668718e-07 1.1546846e-06 2.3532650e-05]"
2,"[1.1140171e-04 1.1002915e-07 1.1237249e-06 1.9576327e-10 8.4957547e-10
 1.1040180e-08 5.4363962e-08 3.1856063e-05 2.4203986e-10 2.4172570e-10
 9.2802660e-10 1.7018992e-05 2.6207478e-09 1.6366498e-06 6.0790728e-09
 5.2244053e-07 9.9983549e-01 1.3506114e-08 5.0539126e-07 1.8237778e-07]"
3,"[1.2703804e-05 9.9997246e-01 1.8118395e-07 7.2211338e-07 2.2700841e-07
 4.8316796e-08 7.3262058e-08 1.9026288e-07 7.1337052e-09 4.0953373e-06
 1.3029113e-07 1.4147878e-07 3.8945663e-07 1.7347085e-06 2.7661408e-06
 7.7360340e-09 6.1983258e-07 2.8685185e-06 4.2156472e-07 1.3281679e-09]"
4,"[1.07191084e-03 6.33967829e-07 4.85284701e-09 1.55983049e-08
 2.12580153e-09 1.24951152e-08 2.88930005e-06 9.74697567e-09
 2.74695344e-06 1.14942109e-08 9.35168121e-09 1.04132766e-07
 6.38915187e-09 5.68625289e-08 1.35125101e-05 2.88510762e-07
 1.47775438e-07 2.43409848e-09 9.98817503e-01 9.00870509e-05]"
5,"[6.1780869e-05 3.5359664e-04 9.8904234e-01 7.5863099e-05 1.9565235e-07
 3.5088354e-07 1.7699036e-06 1.1045834e-03 5.5462567e-07 7.1583869e-05
 8.7404195e-03 2.3028026e-06 7.1343578e-08 7.2003292e-07 1.3981470e-05
 1.0396404e-06 2.3091209e-04 2.9703727e-04 8.8552426e-08 9.2756170e-07]"
6,"[1.3740630e-05 3.2200722e-04 1.4431389e-05 7.3481024e-05 3.9419192e-03
 1.4078184e-03 9.8604763e-01 1.2005599e-05 5.1770029e-03 1.7977032e-05
 2.0185219e-06 9.2678702e-06 2.7889800e-03 1.6407274e-06 9.7751690e-05
 8.6254331e-06 2.8739175e-06 5.4175439e-06 4.8050388e-05 7.4137160e-06]"
7,"[8.2991356e-09 1.6515004e-08 2.8480358e-07 1.9368535e-07 9.9999273e-01
 1.0963524e-06 7.8403119e-08 3.2092846e-08 1.9639408e-09 4.5929229e-09
 2.7674368e-08 3.6868306e-09 2.1710575e-06 1.5863692e-06 7.6486181e-08
 1.5405220e-06 2.5062283e-07 4.8879381e-09 1.9519467e-08 1.4525597e-08]"
8,"[1.79346902e-08 3.14075294e-07 2.82791781e-08 1.43727249e-07
 1.06276602e-05 1.39983545e-08 1.44666203e-07 7.98359068e-08
 3.01120463e-06 3.34873562e-07 8.98859582e-08 2.49461518e-08
 4.88542628e-06 3.32942618e-05 6.30873771e-08 9.99944448e-01
 1.10262522e-06 9.24617751e-08 6.03369415e-07 6.94236235e-07]"
9,"[4.0145687e-09 1.0867060e-07 2.7294342e-07 2.1382762e-08 1.3952398e-05
 9.9997711e-01 4.4626913e-06 6.0213483e-07 5.2283605e-07 8.5025158e-07
 3.7420327e-07 6.8098522e-09 6.6064439e-07 1.7952697e-08 9.1519030e-07
 2.5780976e-08 5.9684275e-08 1.1365427e-07 1.9573134e-09 1.8168198e-08]"
10,"[2.5597839e-07 3.0676243e-04 4.8522343e-04 4.6324703e-01 6.9768826e-04
 1.4294414e-01 1.6546171e-04 3.6065057e-01 4.3491182e-05 3.5613684e-05
 1.4965443e-03 9.0098642e-05 3.0382682e-05 6.7267189e-05 3.2688736e-04
 3.7141292e-06 3.2842347e-06 2.9349133e-02 1.6563663e-06 5.4835840e-05]"
11,"[7.8061169e-10 8.6995620e-08 6.0729317e-06 9.9998868e-01 3.0727807e-07
 1.9159307e-08 1.4402139e-08 4.9815512e-08 1.6111553e-06 2.9701400e-07
 4.4498236e-08 5.9243854e-07 8.0277843e-08 4.2839268e-08 2.4471452e-08
 4.1231988e-07 5.3446159e-09 1.4865665e-06 8.8378918e-08 1.0464833e-07]"
12,"[5.8399628e-08 2.2314668e-09 2.2622206e-08 2.0929722e-06 1.5186467e-08
 4.5290835e-10 4.1392464e-10 9.9941104e-08 1.6678595e-08 5.5936111e-06
 1.1634594e-11 9.9999046e-01 1.0557545e-09 9.2780965e-09 1.6277071e-09
 2.5696376e-09 6.8522588e-10 1.6193919e-06 1.4887851e-08 1.1325020e-08]"
13,"[3.75799073e-06 1.91976279e-02 1.33565136e-05 1.48118625e-05
 5.29585918e-07 1.91232375e-05 4.22847143e-06 2.03285872e-05
 9.58002389e-08 4.17418742e-05 3.80971730e-02 1.34049273e-07
 3.20094898e-07 5.26895630e-04 9.41984773e-01 2.16154532e-07
 1.05141751e-07 6.52145973e-05 8.35523224e-06 1.07299002e-06]"
14,"[4.42174155e-07 1.75056741e-07 9.54616826e-06 1.16838468e-03
 4.96521307e-06 2.05525314e-04 6.73742179e-05 5.42167299e-07
 9.98289883e-01 1.63095450e-04 3.41178093e-05 2.37556287e-06
 1.65003421e-05 1.93686525e-08 1.35899654e-06 5.33664343e-06
 3.14366710e-09 1.61491007e-05 5.63219885e-07 1.36581975e-05]"
15,"[1.9676690e-08 3.1900283e-06 4.7970452e-06 4.9955340e-04 1.0181008e-06
 2.4735698e-05 1.6336026e-08 1.3155047e-05 2.2907925e-06 2.6892801e-04
 1.2504720e-05 1.4856912e-04 6.6388662e-07 3.5240573e-05 2.7167915e-05
 2.3225763e-05 6.7921782e-08 9.9884534e-01 4.5917609e-08 8.9371679e-05]"
16,"[9.9927956e-01 4.1349063e-05 1.4029189e-05 3.5896445e-08 9.6699019e-08
 1.5031641e-07 2.6094685e-06 6.9027482e-07 2.8584775e-08 7.2464289e-08
 8.1692383e-07 3.5833004e-06 2.0661058e-07 7.9378606e-06 1.4318849e-06
 7.5326039e-09 4.5572157e-04 4.0535742e-08 1.8540397e-04 6.2281047e-06]"
