Id,y
1,"[4.93290863e-05 1.82701868e-07 9.94109750e-01 1.13178075e-07
 4.21032240e-08 5.25081525e-08 3.46474351e-08 3.81007688e-08
 1.21482984e-08 5.80651453e-03 9.85627594e-07 3.19305182e-05
 6.94384568e-08 2.47928678e-09 5.52150077e-08 1.66366235e-07
 3.71841253e-07 1.58506310e-07 5.79825699e-09 1.83382838e-07]"
2,"[6.7532568e-07 8.7590742e-12 1.4081542e-07 1.8040171e-12 1.2941852e-09
 1.3047680e-10 1.1234192e-09 8.5002490e-08 1.4352831e-10 2.6514680e-12
 1.2575066e-11 5.6846647e-09 3.7371162e-08 1.0059367e-08 4.2088048e-11
 3.3554223e-08 9.9999905e-01 1.3082835e-11 1.5065153e-10 9.1373947e-10]"
3,"[5.6335812e-05 9.9957615e-01 7.9725226e-07 1.6139492e-07 4.9332851e-07
 3.1716948e-07 1.8855920e-07 7.8083565e-07 1.9317767e-09 6.8019472e-06
 1.6378613e-06 1.4222216e-07 9.3965291e-08 8.4329531e-06 3.3762035e-04
 6.1403490e-08 1.8443617e-06 1.2244047e-06 6.8003710e-06 1.0042948e-07]"
4,"[1.5584166e-04 1.4196358e-05 1.1404211e-09 3.0446593e-08 1.5336338e-08
 1.2014278e-08 4.8137381e-06 4.4318710e-08 1.3487162e-08 4.1870891e-08
 9.3114547e-09 2.0928328e-08 1.6724177e-07 5.4834578e-07 5.1865714e-05
 4.5295167e-08 4.3721165e-08 5.9494618e-09 9.9974936e-01 2.3013075e-05]"
5,"[9.91327624e-07 1.64461035e-05 9.90527391e-01 1.25364149e-05
 9.58634587e-07 1.43042530e-06 4.07461698e-07 1.46053534e-03
 4.31022499e-07 4.12785266e-05 7.79811107e-03 3.53574114e-06
 7.10479000e-08 1.33952005e-06 5.51485709e-06 2.75220191e-06
 5.40835572e-06 1.20665565e-04 2.16989111e-08 1.22508908e-07]"
6,"[4.9286744e-05 3.6756622e-04 3.2208201e-05 5.3688113e-06 2.1706583e-02
 3.8496295e-03 9.5475912e-01 5.0706385e-05 3.2849543e-04 1.4911644e-05
 3.0607459e-06 7.1109594e-06 1.5206019e-02 8.2129372e-06 1.7511012e-03
 8.9521200e-06 3.3954882e-05 7.4938921e-06 1.7824179e-03 2.7789945e-05]"
7,"[6.0252772e-09 1.1342640e-06 1.1504051e-07 2.0275459e-06 9.9979502e-01
 8.9176110e-06 1.7740842e-07 1.2895930e-06 6.8292918e-09 7.6272954e-08
 1.7408897e-08 2.6483610e-07 1.6448263e-04 2.1965197e-05 9.1561725e-07
 1.2954197e-06 8.2239154e-07 1.2424363e-06 2.3065738e-07 1.8295943e-08]"
8,"[1.5668142e-05 7.2723042e-06 6.3811917e-06 4.0682426e-06 1.0341693e-04
 5.6135559e-07 1.8890978e-06 1.6058195e-06 9.5382768e-07 3.2737853e-06
 6.4647666e-06 2.4565697e-06 4.7125382e-06 2.2809437e-04 2.8791321e-06
 9.9955446e-01 1.1605559e-05 3.7943996e-06 8.9422556e-06 3.1514224e-05]"
9,"[1.0986953e-07 6.2853411e-07 3.0037245e-07 8.8374975e-08 6.0811390e-06
 9.9998212e-01 1.5674970e-06 7.7593256e-07 7.2105240e-07 4.3658818e-07
 7.4041975e-07 1.6625535e-07 3.4628391e-07 1.0655436e-08 2.1674225e-06
 1.8238101e-09 1.4950437e-07 3.2451119e-06 3.8709533e-09 2.8974247e-07]"
10,"[7.2353464e-07 6.3458225e-05 4.3625032e-04 5.0887227e-01 1.2774247e-04
 2.0644223e-02 9.4755706e-06 2.3988406e-01 2.5898041e-04 2.9020752e-05
 2.0463759e-04 2.7069929e-03 6.0101866e-06 7.0462274e-06 3.2622222e-05
 1.7190159e-07 4.1827343e-06 2.2670759e-01 4.7125096e-07 4.1119297e-06]"
